frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	10.1043	73.74898	27.60829	0.37178	107.51837	70.61257	8.26294	17.46019	8.75259	24.41955	29.18077	104.00482	0.2881	5.76215	55.33822	16.60305	15.70925	28.71927	131.86105	5.47045	2.20214	1.12025	6.2417	23.50359	31.05398	92.13438	40.07529	31.90664	116.25795	8.08446	1.60455	65.97521	95.99119	7.31626	47.99955	4.86453	11.08402	41.02339	18.77461	4.65385	41.1219	31.1304	41.82414	15.84258	13.30714	28.00504	1.96236
30	60	1999.17588	637.14154	1390.65542	949.00106	680.8583	301.9673	240.14996	526.60602	694.51766	957.91826	575.9595	557.49819	661.22535	579.26832	395.76981	499.94843	666.09158	488.74685	592.55878	545.40665	723.71541	258.60394	818.60044	911.71063	506.16529	1188.56908	694.12501	572.79511	846.60751	397.89728	305.66173	594.4995	993.85096	581.87039	456.12094	436.4884	436.86966	1040.2435	853.61124	630.27878	636.63125	504.75698	500.75345	426.70109	577.3371	702.48999	1075.86605
60	90	1549.33828	1675.82514	2386.4372	1423.22303	2352.62738	1706.9491	1860.62957	667.37587	2044.0266	2115.58336	1060.42903	2005.13274	1692.97102	1305.874	1349.54554	1002.86199	1591.68441	1116.90106	1749.43019	1451.33393	1614.55576	1087.47229	1027.95114	1515.26849	904.9455	1735.56478	1906.83332	1036.69081	1349.07661	1437.25561	1341.2345	1645.49308	1715.21667	1434.28997	787.90945	849.90479	1522.26963	1228.56443	1506.38133	1564.94276	1370.72052	801.26434	677.56284	1027.096	1192.31005	744.98065	1256.11461
90	120	1993.67071	1791.05569	3151.42642	3355.92103	2694.33097	1259.39898	2117.42908	1545.44367	3305.20891	2896.46954	1655.13957	2743.5396	2734.16118	2416.24867	1922.30288	1749.13036	2107.80495	1682.15612	2249.71504	1657.60201	2259.20193	2452.2767	1983.58604	2506.90776	1827.48494	3178.46655	2330.43275	2780.39426	1463.85682	3229.26067	1662.62451	2453.99485	2354.91885	2172.95329	1543.66388	2059.32373	2187.33213	2400.12296	2193.19868	2634.56738	2400.24388	1831.11639	1840.08488	1958.47356	2201.85061	1706.75928	2180.78516
120	150	2233.10195	2459.2535	4574.08518	2260.0906	5485.05624	2428.87079	4184.56907	1812.10569	3952.12361	3970.5029	1762.30698	2065.82806	3007.93272	2972.84302	3308.85327	2225.31626	3139.90664	1672.98448	2144.47257	1656.99406	2518.73313	2300.1593	1840.69349	3288.63546	3072.43159	3091.69775	2186.56381	3020.07089	1774.1297	2961.58495	2537.66292	3518.06604	3624.56996	2183.58738	1734.42505	3959.21387	2137.69936	2951.3968	2531.93396	2804.02093	2607.93211	3016.61974	2458.82765	2603.96631	2404.41099	1648.67749	2396.43472
150	180	3436.23903	3429.0257	4477.80884	2681.87015	3109.85948	2560.24329	4034.33041	2560.43169	3746.05456	3502.75754	3066.78329	2916.80845	2218.71014	2997.46579	2695.89004	3115.3556	3074.89538	2509.3009	3156.61325	2439.78926	2522.45266	2299.19186	2018.96764	3389.35906	2990.59142	3807.28104	3064.92405	3127.38662	2955.15675	3444.00801	2381.30363	4303.42792	4030.49663	3635.76189	2490.37256	3723.69775	3098.487	3454.76253	2681.4098	2799.72652	2685.31257	2975.66389	2442.01251	2669.51325	3079.53749	2222.80615	2757.84339
180	240	3111.77141	2603.77941	3780.06793	2624.92789	3734.98955	2514.13014	3917.92484	2085.29774	3376.37275	3272.80489	2219.94067	2847.87796	2104.7162	3427.60558	2444.94165	3178.45944	2821.03773	2376.50761	2363.28966	2546.09162	2673.3964	2243.95657	2564.12034	2644.19001	2320.44635	3690.20103	3029.8174	3243.56889	2658.1509	3174.90286	2180.53451	3350.38116	3157.01923	3156.45834	2993.42212	1722.10938	2582.67983	3354.41604	2868.8426	2849.8422	2917.0241	2145.85965	2289.53624	2280.07171	2969.5882	2353.58105	2798.90348
240	300	3223.68965	2360.79751	4315.794	3003.55074	4566.26892	1705.46335	3649.5258	1923.74053	3881.36176	3573.10401	2359.29992	2370.51978	2420.29376	3033.45204	2520.90652	2473.85125	2943.38842	2341.68106	2223.92993	2607.58096	2897.74657	2567.95123	2211.52458	3420.47766	2971.77171	2959.68548	3047.5708	3239.81147	2189.48005	3766.53253	3001.04175	3136.90424	3314.77235	2534.52481	2492.58679	3804.80981	2734.2112	3446.58169	2546.78064	3014.28603	2497.95658	2865.79383	2481.60178	2821.92447	2896.76769	2199.96387	2873.7277
300	360	2700.53767	2477.37933	2395.37139	3065.27525	2829.78238	2637.01442	2537.2733	3209.06847	3023.08525	2776.01911	2686.55349	2404.32976	2996.13	2835.05132	2582.6484	3008.83957	2714.85579	2543.50166	1986.80511	2332.35291	2394.22745	2013.11087	2310.10979	2976.78668	3223.60814	4086.24592	2933.28901	3559.61667	2398.15551	3264.67521	2597.21379	3521.36965	3253.51684	2447.85974	2906.80261	3861.0271	2580.14972	2903.15022	2313.2418	2668.46616	2530.94819	2679.45997	3084.32555	3232.87071	3240.40508	2476.48535	2560.16893
360	480	2910.75553	2411.74404	3648.48109	3123.17667	3367.93447	2464.47045	3481.64429	2011.70574	3447.63081	3356.47691	1923.2084	2169.01168	3125.55572	3088.66726	2372.53346	2198.79149	2688.8558	2269.36442	2061.89387	2309.86668	2630.784	2037.44672	2352.27183	2702.10275	2773.82841	3349.49323	3277.20535	2762.32717	1979.68517	3082.07904	2598.33171	3497.57899	3301.80206	2330.03597	2305.00647	3373.32764	2667.36559	3350.92577	2354.09042	3057.52599	2501.15302	2509.68297	2522.02363	3005.98752	3212.59803	2100.40723	2837.4051
