frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	4.64058	2.23281	0.17841	1.03151	3.08319	0.00475	1.23499	0.04222	2.40994	0.93409	0.00049	0.00271	0.24483	0.16723	0.00066	0.01018	0.02402	9.40286	0.04888	3.99942	1.20898	0.8881	0.20626	24.80153	0.1199	16.35433	0.06234	61.31131	0.19211	4.39079	0.04705	3.93497	3.05924	0.00274	0.0	0.00549	0.17481	0.33107	0.09422	0.02747	4.12823	0.00141	14.19335	5.22666	0.06099	0.25572
30	60	1371.52459	750.46074	812.53575	992.21785	391.26514	886.38902	510.11724	780.37746	1355.22282	1031.2202	583.43183	720.75914	452.15041	927.26489	707.16549	812.83423	735.51202	833.60725	915.58037	855.07949	736.14864	534.06921	639.94713	1991.93381	843.94372	913.38759	546.16831	886.15214	433.98236	637.3524	1024.84798	1234.11483	1362.25692	593.73411	460.44333	545.05006	631.67839	585.0099	560.16799	806.38674	1031.61136	677.27325	790.88268	786.98994	595.0666	255.34645
60	90	2986.04147	2160.41226	3464.24731	3090.94333	2359.12431	1702.45158	3103.40525	2344.32614	2778.0521	3418.61727	2250.10931	1447.83298	2497.4273	2783.05987	2018.44003	2295.62238	2237.54611	2031.84419	1494.49677	1498.98248	1983.36354	1536.89291	2169.84196	2164.66904	2620.87841	2142.46069	2161.44749	2737.91512	2324.20073	1712.57599	2390.19973	2245.82064	2920.1451	2532.84851	1390.36939	1568.21396	2063.31917	1959.64264	1851.71005	1988.11069	1914.24653	1965.3551	1641.55617	1774.60192	1735.79955	1926.67564
90	120	4836.91052	3031.93101	3459.07536	3289.3843	4183.32004	3542.2221	3473.86932	3105.60178	5705.92897	4744.32044	4307.09582	1689.78518	2417.39698	3849.18605	3310.94329	3471.15767	3203.8118	3254.15275	2307.27391	3238.2876	3158.30766	2442.02452	2798.8129	3404.82465	3280.81593	3787.20068	3395.14033	3884.53833	2099.23596	3340.12113	2941.96737	4131.01623	3992.15776	3557.27256	2375.63479	2945.08166	3898.22018	2215.03005	3573.97085	3146.68719	3167.37079	3465.06504	3047.16181	3198.49522	2617.46182	2829.28539
120	150	4797.55738	4044.88912	4780.41064	4987.65018	6389.98236	3929.10151	3871.58932	3724.49164	6367.65941	5291.83546	4643.67675	2553.65308	3077.36781	4804.75173	3879.95057	3842.83037	4132.8001	3459.11604	3553.70347	3219.4126	4068.02058	2413.10862	3332.51594	4787.59656	5496.73741	3594.43488	4325.03459	2884.30881	3124.60243	3377.94375	4113.17029	5397.48433	5233.27866	3677.75252	4494.23984	4032.73988	4747.50194	3722.61594	3028.4244	3525.55365	3770.54478	5704.60625	3872.37755	3793.81475	2746.47855	3555.3824
150	180	5035.10105	3770.34852	3652.29777	4890.32913	4183.76721	3963.52252	3869.81976	5558.67603	5815.25909	4805.27076	5457.97157	3435.73589	3611.60113	5253.32516	4091.58083	3603.6205	3882.40754	3842.12033	3031.71324	3728.64818	4007.72227	3306.11127	3660.85016	5965.21132	5452.22231	4577.68915	5284.28465	3485.5497	2671.6099	3867.90334	3577.54195	6031.20815	5240.85937	3358.33286	3633.15615	4220.10842	4839.43447	2417.96977	4769.95106	3357.70103	4944.00484	5194.87168	3903.03974	4017.76992	2162.26895	3957.22267
180	240	4244.65719	4787.16894	4249.95085	4508.39997	4724.06381	3490.13725	4149.28813	3479.42606	6637.12675	5452.04192	3938.91664	3513.98848	3945.80502	4968.21111	4418.13899	3608.77408	3785.92735	3462.63423	5615.51179	3918.81753	4270.59573	2974.66821	4130.95725	4858.21282	3712.83584	3854.7738	4113.09564	4321.47884	3224.6459	3739.43836	3517.77135	4199.37595	4271.02048	3087.79692	2827.43618	3028.42443	5108.30652	3946.07191	3359.98706	3415.12927	3828.53438	3642.8124	3131.07401	3040.49095	1774.45496	3135.78464
240	300	3832.40329	3638.83557	4081.0542	4345.16817	4870.60034	3691.88996	4552.32241	3925.27032	5103.17323	4526.03335	4330.1311	3484.95027	3316.90353	4267.14856	3895.02985	4246.28629	3611.07878	3660.15984	3873.59162	4014.36354	3473.11427	2660.2009	3318.6934	3681.97597	3017.62165	3901.38947	4360.44406	4171.3004	3185.38452	4625.47776	3796.85537	4386.98159	4026.30051	3284.06573	2885.55322	3333.09357	4562.29626	3552.22192	4356.24801	3566.31827	3052.3959	3152.35962	3672.71138	3930.69561	1945.59218	3326.44043
300	360	4558.61407	4248.6606	3242.45353	3865.79774	4006.24118	3408.65039	3318.39395	3192.26344	4877.86052	4603.60347	4095.82662	3853.47625	3272.6684	4537.66435	4070.63425	3854.19271	3682.36811	3418.14993	3295.5995	2842.05733	2951.32562	2756.59738	3172.05234	4692.07451	3861.06155	3925.78729	3927.35829	4145.79112	3172.81366	2713.24152	2695.40327	4125.61202	4185.71016	2770.90696	3927.15996	3118.24253	3610.03493	2689.91475	3379.92578	2913.13525	3420.08681	3374.28564	2992.58489	3111.49532	2282.73325	2859.771
360	480	3898.55544	4110.53114	3736.21989	4637.69227	3765.78815	2962.91795	3910.18839	3932.58677	4218.2491	4066.1725	3387.48531	3442.74451	3619.2449	4128.26561	3537.2737	3529.53583	3543.25246	3530.97547	4280.09323	3167.52488	3006.86514	2753.96354	3322.79995	4525.66989	3532.03127	3069.84796	3778.57144	3303.68609	2958.19023	2828.87135	2748.46866	4174.54689	3671.19355	2859.29082	2553.52718	2467.57445	3832.96105	2792.43314	3097.1823	2976.84221	3372.53144	3278.7375	3126.81112	3165.25635	2181.50337	2857.75098
480	600	3131.3261	3936.99519	3336.85091	4230.1979	3177.88379	2956.26969	3826.46145	3417.29721	4138.34954	3900.82703	3015.44437	2741.64856	4120.66144	3643.77763	3029.68053	3238.39981	3202.6748	3027.99997	3629.13229	3174.87546	3321.36316	2171.99863	2855.19716	3039.99607	3732.16756	2842.30817	2957.90377	2851.69396	2714.28571	2822.09317	2991.75932	3564.15406	3298.30119	3088.24032	2981.49613	2765.25412	3122.06266	2673.75349	2924.96343	2697.56557	3208.68569	4023.21597	3271.60783	3186.53417	1972.0351	2716.22821
600	900	3273.98829	3256.82708	2936.007	3466.80128	3148.69983	2662.51569	2792.82049	3031.71061	3269.91779	3105.18079	3034.1449	2672.25691	2658.63258	3036.81843	2675.27013	2966.86854	2604.0051	3251.32245	3112.25373	2875.53182	2743.98972	2398.23161	2718.75743	2821.43289	3244.25133	2855.8761	3036.66915	2744.87587	2543.63907	2579.87669	2573.60547	3229.53978	3101.06324	2683.49977	2350.6792	2815.73931	2797.74671	2514.61577	2602.52108	2441.61951	2772.7968	3405.28188	2783.75907	2722.79354	1829.92979	2437.53675
900	1200	3014.06396	2860.97878	2590.1215	2941.93586	2775.19873	2152.02989	2272.38461	2606.20297	2864.81371	2775.32105	2345.84682	2720.01128	2605.53914	2874.88975	2236.48102	2438.64495	2343.51943	2408.07227	2885.262	2498.45003	2371.39294	2146.15324	2388.59027	3006.46634	2731.11789	2285.8891	2700.43395	2463.28977	2262.76341	2536.58789	2170.99009	2749.47023	2637.03572	2485.10627	2372.81578	2045.01452	2122.46247	2104.60341	2091.32183	1946.23299	2623.70521	2737.84111	2483.73528	2294.09026	1734.48604	2128.51338
1200	1500	2048.1356	2393.52103	1878.67558	2337.94425	2049.22279	2317.81931	2163.24472	1970.15279	2595.36862	2359.76259	2447.34812	2441.28186	2163.83113	2206.02518	1981.09228	2036.9212	1892.56782	2231.19079	2550.26932	2362.86546	2311.51247	1720.54248	2237.80924	2118.32144	2228.25954	1981.05856	2274.77966	1932.93245	1925.3845	1872.17964	2097.63162	2104.00082	2077.6713	2245.44364	2012.73579	1928.62277	2105.50369	1761.10285	1775.79828	1750.91461	2296.00327	2492.79082	2042.55042	1957.84447	1637.37057	1790.91543
1500	1800	2062.79897	2288.80559	1700.74186	2001.03735	2126.64545	1757.87259	2118.62718	1818.46328	2200.09111	2020.24452	1857.22611	1935.54047	1931.63644	1910.45838	1698.525	1936.4552	1676.49427	2158.05193	2270.21987	1929.00861	1987.92374	1534.01786	1848.78797	2255.51705	2241.36272	1732.75992	1921.82195	1979.07682	1768.14359	1704.48148	1488.64181	1928.91765	1928.81932	1863.93024	1776.14241	1810.2096	1667.42467	1566.76808	1672.7686	1573.86897	2384.04628	2280.62021	2155.06246	1946.14391	1577.9245	1677.72844
1800	2100	2054.2127	1998.64199	1558.22856	1938.24509	1675.38278	1857.33389	1533.47347	1799.58224	1807.11868	1797.43916	1899.34322	1943.7666	1839.88576	1774.1018	1679.46102	1513.08154	1626.38062	2019.36019	1909.98722	1887.81962	1715.98775	1615.81954	1663.79132	1963.05808	2084.6731	1624.86224	1805.8376	1589.36795	1514.37009	1702.33458	1748.26438	1713.84831	1739.38487	1779.71491	1564.08781	1762.19374	1715.31618	1439.08477	1586.32739	1577.33822	2042.40259	1878.97747	1721.29684	1657.56385	1424.51799	1522.10008
2100	2400	1896.90123	1664.73303	1488.40129	1762.63726	1720.16681	1632.4307	1428.69786	1506.73501	1643.30589	1714.16187	1842.24594	1800.36975	1573.48134	1470.12686	1696.75282	1644.16237	1514.49637	1763.33672	1609.71097	1662.37625	1545.33064	1465.09783	1611.53456	1622.50005	1985.91104	1413.33044	1660.85537	1521.86509	1329.73614	1540.82155	1767.4683	1799.5506	1652.3018	1465.95412	1465.82395	1429.63003	1487.61292	1414.46596	1562.12958	1484.73455	1696.95484	1879.96543	1568.71474	1579.00423	1213.68849	1382.07214
2400	2700	1548.16188	1582.68091	1192.99361	1392.75954	1211.83319	1484.62688	1507.76625	1429.55484	1379.64681	1387.82207	1664.62551	1400.73118	1429.6329	1394.62341	1387.90696	1782.30432	1410.4762	1527.95246	1746.48514	1473.6553	1519.87675	1448.39364	1548.7709	1647.92668	1597.70215	1332.81433	1510.15685	1077.00075	1415.6052	1379.22603	1071.04734	1631.87166	1592.23407	1283.52506	1559.01031	1423.34663	1268.45538	1104.29255	1359.99643	1206.94253	1752.89574	1531.78921	1440.97158	1443.80587	1496.31944	1372.11664
2700	3000	1858.18177	1676.39026	1286.95874	1263.26978	1533.94614	1422.02331	1438.82521	1276.29834	1627.84254	1508.22068	1247.01423	1389.79913	1293.32482	1466.92706	1257.35348	1364.40286	1343.57197	1711.23753	1453.06376	1531.89129	1456.21066	1242.36302	1388.77005	1669.77371	1814.59181	1126.58865	1249.54646	1204.44709	1249.04204	1343.89703	1332.74312	1549.75333	1580.34233	1470.17456	1299.73149	1042.68372	1543.32712	1149.30986	1477.41714	1277.28742	1761.63702	1812.9708	1381.68791	1327.83458	1386.18011	1435.91628
3000	3300	1251.18351	1800.43662	1142.91756	1251.51525	1253.14166	1014.61419	1144.31177	1150.07214	1463.58205	1457.36018	1179.77415	1729.6457	1261.83895	1246.49027	1100.63561	1397.71936	1273.70369	1450.50882	2030.7669	1554.49451	1485.15876	1268.65911	1339.42053	1584.19613	1340.28384	1226.69577	1019.67609	1389.64057	1257.08556	1081.47775	981.26787	1359.59606	1274.00745	1124.73486	1117.08195	1055.33396	1147.45239	1040.04382	1252.0794	1144.81429	1576.11824	1483.04797	1610.42195	1271.17156	1412.70067	1183.47085
3300	3600	1462.58342	1373.12861	1324.02877	1541.51722	1413.49867	1533.75122	1188.86358	1419.25908	1364.48946	1336.32744	1342.4869	1266.16818	1371.73395	1458.52656	1266.91497	1631.3292	1315.13726	1575.061	1389.19339	1494.21149	1260.48029	1376.02966	1469.09487	1261.81418	1093.52403	1073.89824	1162.30369	1213.08294	1362.72243	1234.58387	1027.82105	1187.59343	1189.39222	1304.28455	930.40972	1046.4074	1106.177	1171.746	1105.36231	1139.69612	1415.73979	1021.27198	1342.00362	1184.69853	1269.84286	1101.77406
3600	3900	1613.12604	1337.96401	1056.26351	1178.93968	1345.2446	1568.07259	1306.76329	1032.02371	1245.82984	1127.23582	1562.82241	1169.57139	1145.6727	1184.2108	1406.65047	1286.48976	1133.41528	1508.22794	1210.59818	1441.3932	1384.79682	1254.28354	1457.17729	1440.28433	1107.97708	1077.18973	1289.67772	1203.68045	1153.50778	1212.19938	940.94578	1351.7193	1253.99604	1226.78465	1087.14008	1061.31193	1139.57181	1175.54501	1092.21531	1156.52	1281.27396	1023.95571	1406.47097	1371.144	1174.08981	1096.67225
3900	4200	1830.98827	1355.56169	1172.89307	1118.80354	1416.59651	1180.26456	1206.72483	1218.58171	1254.813	1186.09831	1261.34173	1532.59072	1283.14368	1259.00207	1146.37534	1278.45913	1237.99223	1556.21578	1413.78591	1315.92227	1160.09426	1210.00068	1257.01944	1543.91229	1344.65363	963.29428	901.28039	1086.41029	1151.15498	1015.04302	989.27377	1270.41389	1180.36379	1310.51573	1082.72831	877.68168	951.2075	1085.75241	1120.7239	995.03299	1261.66731	1416.06448	1303.72465	1164.78388	1338.03162	1110.20175
