frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	1.77925	0.17648	2.68053	24.94402	6.65562	3.45492	3.49384	30.04003	1.30796	2.47485	9.59036	0.01548	5.11232	14.56108	4.03892	5.4384	15.76398	4.05636	0.10307	16.35309	12.41721	0.01383	4.67712	14.22428	0.13751	0.42406	0.32536	0.05833	10.68011	1.25201	5.24828	0.05727	0.10867	18.81562	0.33158	0.0001	0.04214	4.08922	24.22595	2.85789	5.42742	4.15533	0.01573	0.19997	0.04106	0.6492	3.65698
30	60	670.49483	534.32886	803.48337	1081.97199	762.89747	774.99202	877.03199	1218.326	582.29201	678.15453	1327.54738	675.20956	922.44323	697.60161	1060.60577	931.50422	756.28732	667.03653	388.80437	641.92974	687.37136	1348.18286	946.94339	498.39669	513.25711	772.66433	1198.85107	879.77166	1071.59979	769.56136	662.10739	965.39026	995.29835	1585.72732	702.75053	455.97421	850.20796	758.33775	571.22893	401.30487	651.07462	490.23996	743.82357	776.52374	842.49106	442.81796	563.33683
60	90	2435.69229	1623.89741	3155.67632	2112.5396	2086.3182	2198.67453	2845.6363	2447.92853	3026.81677	2853.56308	2780.36438	1338.67407	1598.17908	2473.34707	2452.60445	2252.12397	2385.34656	1439.791	1360.82424	2115.27912	2123.78614	2762.01807	2179.98361	2792.27042	1167.74194	3926.24143	1652.75451	2598.47265	2737.21514	2318.01423	2333.68583	2495.83522	2502.99412	2421.13855	755.08346	2373.85229	1859.26159	2256.13236	1771.69635	2818.72502	2187.91037	1422.21235	1020.70189	2335.44943	2090.57876	545.74192	1583.18262
90	120	4344.39159	4049.84629	5204.04519	4148.62212	3944.1146	2948.64804	3332.05034	3206.50208	4938.43113	4542.78812	3090.30886	3720.71297	3952.95912	3827.83611	3391.21049	2860.57611	3299.77932	3169.12047	3664.18525	2972.33307	3653.09179	1896.31165	3125.47423	2954.03502	2380.04997	5061.66851	3753.07946	5346.8205	2722.14795	4125.35343	2844.78537	4011.46977	3844.64691	3395.54835	3346.34486	3059.48779	3764.90702	3634.27593	3415.87361	2163.03837	3524.29197	2087.2929	2486.8543	2553.23664	3321.13807	2541.91797	3190.33231
120	150	5514.46665	4246.10372	6560.39175	4013.70985	4792.78844	4244.63716	4382.70904	4291.06595	5724.42857	5432.43592	4251.02839	3295.74349	3840.3315	5703.2646	4711.32446	5192.44221	3783.47894	4159.13029	3852.98501	4379.1056	4731.83678	5093.49756	5550.78949	4363.0311	3929.90806	6448.86502	5865.34227	5213.47545	4001.99752	4912.70587	4804.78442	4982.82331	5174.69944	4679.00684	4075.2545	3452.39136	6925.58249	5275.84443	3715.58906	5432.75737	4589.9526	2879.8481	3970.11729	3648.10025	4345.30001	2649.15625	4374.09094
150	180	5159.954	3947.66561	6345.82603	5378.88977	6095.3257	4946.1564	5033.45444	3899.20208	6056.83038	5196.52785	4331.92128	3307.34128	3722.85424	5267.48235	4012.01596	4520.37601	3731.01055	3606.34111	3371.84058	5158.52409	5856.48606	5169.33154	5381.40303	4347.94486	3719.49101	6332.53364	3981.25483	5675.63585	5042.25	5592.47741	4008.3079	6051.50928	5399.69478	5358.01838	3891.91566	5495.91113	3906.2509	5012.02475	5164.4244	3736.65815	4675.98254	3705.11708	3464.61821	4281.69558	5349.72821	4055.07536	4604.39744
180	240	5764.79653	6060.3004	5627.05503	4497.93772	5866.52513	4906.36129	5790.4935	4014.11663	5831.17373	5297.75546	4444.94955	4383.06196	3943.33778	4963.05297	4272.63359	5090.32361	3818.27624	5038.29777	5495.70342	4957.53831	5335.91277	3921.20972	5053.32178	4007.24694	3962.39705	5551.27501	5341.21375	5227.44402	3746.78285	5548.64118	3976.09431	5487.76584	5287.73685	5152.10422	3584.8744	5278.31445	4046.26926	6268.28739	3896.02389	4054.13476	4088.86374	3650.33137	3815.69595	4300.71081	4862.90783	3259.77344	4800.7628
240	300	5176.39919	4163.87919	5919.54893	5491.70058	5527.09033	5347.31739	5092.23624	5267.14289	5323.27258	5280.84754	5143.02663	3679.26796	4909.08221	5626.17124	4950.13544	5347.73244	4118.60843	4024.57191	3998.60112	4470.40294	4813.05235	3721.68555	5358.93737	4517.60631	4305.43637	5769.38981	5686.07518	4963.34218	4404.93383	5842.17394	4159.73926	5687.55408	4979.66993	4879.65869	4238.42893	4794.46826	5065.03994	5444.62941	4111.1844	4557.03652	4325.56864	3751.15011	4250.60039	4831.80571	5236.02553	3726.56104	4597.77034
300	360	4574.55164	4299.39686	4010.63813	4972.81444	4447.36019	4591.86869	5471.59837	3671.96204	4891.33513	4013.74495	4905.21013	3561.91946	4134.98611	4989.38863	4490.20004	4369.03709	3882.12456	4736.23696	4086.65981	5122.29104	5518.82615	4200.66943	4944.54239	4319.85089	3468.07859	4422.32992	4471.61213	4704.92934	4578.33091	6206.80863	3598.4819	5535.81561	4391.70935	3938.5014	3678.986	4142.01953	4523.78799	5517.13537	4264.95893	4392.37199	4355.09126	3825.67304	3581.31294	4705.52139	4930.77341	3112.99536	4241.44123
360	480	5019.14449	4354.43244	5195.12461	4847.50045	5237.31027	4606.31526	5379.11203	4284.85739	5488.62411	5376.98256	5189.06823	4229.50551	4264.51478	5510.89532	3938.0493	4647.18849	3928.75846	4114.30103	4057.78789	4389.37189	4934.98621	3758.75269	4787.10727	4227.7545	4514.65188	5255.57617	4926.52513	5253.92438	3967.13781	5358.19546	4286.86063	5341.87154	5118.23312	4522.29854	5132.89442	4550.63232	4279.65055	5400.90148	4056.73319	4422.90092	4028.31744	3420.48797	4742.47305	4015.67799	5181.2375	3557.27677	4365.32211
