frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Paralaminar-nucleus
0	30	727.0674	201.3544	481.67042	493.78019	286.82271	409.0753	821.1145	248.467	457.97232	375.23075	153.77976	274.29976	171.93757	361.36015	267.83861	363.94539	345.2561	372.13048	353.87921	108.58768	169.21583	209.23596	291.98646	239.12312	138.0798	297.85981	307.66709
30	60	1787.58686	848.55111	960.76788	1384.64306	927.4509	1535.87072	1621.62698	920.53546	624.37805	866.21102	628.60906	944.54408	752.27335	840.77003	685.11569	1118.06736	755.45992	896.40701	789.58826	610.42514	1116.94965	1253.005	1168.81172	1487.2373	1531.30458	1398.89841	1127.7813
60	90	3399.77252	858.33365	1482.2816	3044.68462	1762.22653	2392.54186	2419.19672	1455.0707	1373.30374	1720.92574	972.00003	2665.52765	1376.34487	2876.0306	1259.73085	2550.16804	1319.93241	2115.7709	1332.45003	1506.48359	1998.84975	1178.53667	1237.31488	1172.21601	1616.77359	1772.2347	1833.37912
90	120	4678.95048	2942.49603	2768.52667	2713.66849	2855.31925	2859.76294	3248.80042	1413.26921	2210.69437	2462.60634	2469.40709	3158.42798	2876.21217	2435.28522	2553.60423	2547.41194	2581.97788	2384.4206	2745.22912	1457.91311	2465.0771	3044.14663	2433.74917	2348.97704	2531.69628	2506.06116	2280.55337
120	150	3418.8322	2181.43351	2500.53761	3112.45983	2443.90081	3049.90196	2791.06716	2386.10754	2344.05228	2178.58273	1901.21756	3713.78583	2593.87372	3473.34613	2537.66235	3246.16399	2401.96139	2762.2493	2323.20728	1586.21706	2432.5116	2929.10931	3476.14097	3263.17338	2776.64051	2945.3713	1924.31917
150	180	2976.6529	3163.68477	2215.06004	2754.97478	2086.6109	2543.86429	2318.67601	2282.77337	2158.30803	2345.17745	1948.21279	3928.3993	1886.40452	2727.59486	2011.88366	2772.71738	2029.90893	2454.28447	2036.59564	2201.27887	2343.42681	2664.88532	2117.53346	2173.58829	2568.68407	2257.03174	2169.33455
180	240	2605.08486	1747.09883	2717.75766	2305.10179	2518.01797	2784.57113	2412.46379	2463.89785	2450.91013	2118.66776	2038.46911	2324.28023	2337.91165	2637.79507	2495.91492	2613.46802	2479.32457	2423.54207	2365.58649	1769.06283	1894.14911	1857.70147	2052.58541	1872.37092	2108.32299	2058.5739	2143.92856
240	300	2491.30073	1816.37126	2799.47104	2109.95181	2352.74732	2155.60918	2362.76155	1917.79936	2166.00849	1896.57287	2099.66431	2279.20866	2590.25175	1887.42988	2750.68779	1935.67489	2610.74649	2038.68918	2496.53694	2001.03403	2049.25585	2186.678	2513.53952	2536.09998	2090.7824	2227.56288	2078.43419
300	360	2234.49335	2286.31714	3285.21408	2618.27118	2575.54625	2174.40398	2424.74678	2192.43198	2502.01803	2198.36264	2200.66698	2994.82337	2971.79367	2507.52824	3052.0574	2395.85437	2938.58408	2281.46109	2755.8104	2028.62045	2408.67345	2044.04056	2436.45171	2503.20976	2263.49664	2356.71306	2589.57576
360	480	2075.7408	2172.0298	2341.68929	2235.76945	2658.354	1908.48303	2491.94396	1952.93558	2148.20372	2011.78926	1905.84792	2585.60385	2291.97556	2314.01782	2220.19173	2318.11661	2224.35525	2078.19228	2215.81114	2008.34281	2365.64529	2852.61427	2633.09614	2785.9803	2848.87017	2310.80578	2049.2614
480	600	2303.7007	2514.40926	2601.76366	2560.32407	2352.15797	2279.34299	2513.87667	1994.34055	2324.39527	2428.58532	2084.9479	2762.01895	2400.69454	2654.13279	2548.38377	2651.88033	2496.89622	2388.78026	2390.59923	1813.31856	2215.03746	1901.66155	2151.11983	2047.38326	2252.75804	2279.01202	2182.29557
600	900	2149.14368	2161.94731	2181.26993	2121.66019	2085.04025	2175.90033	2035.29144	1833.23956	1946.4135	2075.838	1821.7432	2472.96003	2083.04159	2229.99358	2120.80086	2237.72327	2082.43447	2095.34756	2019.48141	1774.36638	2109.87823	2280.25145	2190.21089	2098.58379	2253.81748	2035.94319	1858.3126
900	1200	2011.4046	1869.37149	2204.86337	2134.26095	1933.95338	2095.92881	2100.22585	1934.98341	1952.26128	1925.75284	1794.66048	2385.87923	2059.56057	2306.46585	2079.74097	2187.57445	2067.06562	2077.16237	2019.98869	1863.95884	2196.48537	2028.33155	2202.20792	2139.27349	2101.46018	2017.9618	2139.49119
1200	1500	1628.3214	1942.85074	2031.61722	1885.99358	1865.74849	1745.74157	1680.02734	1569.32638	1672.05801	1703.7835	1598.52473	2473.78812	1874.35699	2033.10845	1823.27079	1914.80872	1799.27375	1811.89613	1727.84243	1955.10489	2056.85452	2411.28932	2045.38832	2131.94215	2376.01916	1820.94671	1542.35791
1500	1800	1475.74037	1788.77085	1919.29461	1722.12596	1726.19199	1590.42248	1535.39346	1712.84773	1570.84847	1763.42885	1693.79527	1862.78502	1953.27415	1884.05248	1770.56757	1845.50508	1765.37943	1756.08993	1746.12659	1788.64221	1818.90129	1856.79678	1715.75498	1792.58561	2107.11046	1845.60932	1554.44932
1800	2100	1742.21791	1720.45209	1671.1189	1639.63848	1640.85285	1516.28971	1534.37355	1451.90816	1483.46979	1693.53346	1418.27325	1750.51133	1738.33022	1636.62414	1647.81094	1616.30002	1616.47915	1621.73498	1562.64269	1852.57106	1928.94397	1769.19178	1816.85101	1683.40034	1846.14336	1809.27358	1888.17938
2100	2400	1305.90182	1572.07276	1682.30368	1711.96617	1589.44959	1423.3497	1783.41765	1415.59013	1605.90031	1376.55661	1276.58279	1904.03895	1657.6965	1657.57077	1632.60332	1590.51834	1622.07007	1456.78159	1561.8741	1594.48385	1485.15433	1794.228	2038.37648	2075.30707	1848.0063	1672.18695	1244.10873
2400	2700	1180.95665	1953.82756	1790.20062	1514.70698	1437.2664	1314.3828	1460.02764	1236.60347	1512.0558	1429.24351	1504.58211	1641.5006	1862.09656	1575.98258	1764.5029	1485.47651	1714.54549	1424.77774	1663.84084	1480.69856	1478.50035	1250.46713	1510.77925	1567.18339	1694.94101	1760.96372	1387.00226
2700	3000	1474.05527	1788.67769	1712.03785	1473.06808	1416.85264	1383.08816	1483.59882	1309.69374	1482.48939	1433.51072	1561.09228	1710.60517	1702.78752	1405.42312	1672.39694	1449.75072	1644.20053	1432.71345	1616.986	1499.20675	1603.46739	1858.50296	1782.22457	1699.97428	1690.34092	1628.98059	1387.06934
3000	3300	1276.8278	1290.02393	1607.73979	1476.85304	1416.54555	1269.62848	1346.4178	1343.2544	1271.39452	1432.29179	1480.1197	1663.67864	1683.75724	1514.09682	1574.92199	1464.81704	1507.27384	1483.50622	1495.62373	1325.48281	1593.6452	1885.48283	1732.53838	1804.34631	1754.50636	1546.70594	1420.04353
3300	3600	1334.08206	1279.34909	1749.90125	1417.42654	1378.89477	1298.98082	1434.9456	1318.43653	1177.60527	1296.21057	1146.46614	1427.76475	1704.3096	1362.43517	1489.12541	1382.70164	1451.72664	1313.73998	1413.54476	1168.48637	1364.02847	1627.15541	1705.51768	1717.33802	1478.36506	1428.7019	1275.13773
3600	3900	1203.17434	1524.90796	1596.64361	1335.00356	1498.3645	1278.07104	1252.088	1301.47944	1294.83251	1370.7342	1395.39763	1726.53014	1620.64177	1439.35654	1569.14725	1392.02688	1509.92907	1413.02832	1470.8375	1350.2862	1564.8873	1573.57338	1351.65749	1334.45944	1516.29944	1349.85031	1461.90847
3900	4200	1240.61081	1432.78871	1449.95233	1356.60035	1307.40388	1288.67339	1247.36598	1222.42689	1250.25739	1362.11801	1559.69423	1514.10509	1512.84817	1474.71911	1516.92778	1440.78998	1484.6017	1377.8701	1465.69214	1295.39003	1368.96049	1309.24084	1306.58021	1313.65753	1565.77386	1440.9516	1249.92086
4200	4500	1180.75354	1262.35286	1278.6052	1228.05158	1171.76459	1248.13682	1234.91714	1093.56303	1161.81847	1151.32956	1195.0899	1389.60277	1461.10883	1225.92737	1386.7049	1226.83142	1348.33424	1168.65226	1332.61367	1254.83813	1302.21558	1274.56486	1455.80559	1444.42867	1379.58126	1193.48789	1068.74151
4500	4800	1136.96677	1245.77206	1459.50555	1311.02832	1185.18546	1169.39551	1209.14536	1184.35678	1165.9972	1160.31366	1268.2812	1502.23028	1493.77385	1336.73953	1372.77647	1315.48836	1355.35438	1217.43356	1352.81737	1102.89719	1185.72811	1276.73388	1458.96687	1437.5464	1445.16295	1452.68443	1108.02308
4800	5100	1443.18439	1329.28243	1377.10464	1288.80335	1234.37753	1358.56187	1264.7426	1121.37068	1278.76942	1220.59067	1275.82218	1550.94445	1336.42849	1456.23866	1374.63588	1432.70336	1366.69607	1313.17521	1341.57699	1030.73718	1063.34229	1269.64618	1247.17635	1324.38793	1403.5839	1253.65252	1015.30382
5100	5400	1112.33456	1455.9615	1252.08245	1166.89527	1191.1191	1091.44049	1177.17389	1028.65689	1179.37064	1109.77998	1346.09098	1409.39473	1351.48048	1283.60972	1296.93282	1266.16067	1289.94553	1123.90356	1301.58202	984.56251	1170.0742	1583.11438	1542.77367	1539.13501	1431.38815	1483.9733	1059.48174
5400	5700	865.37993	1406.55952	1407.02959	1228.56868	1309.85041	1012.73481	1358.60019	1064.95496	1121.01004	1037.24459	1114.92312	1481.78376	1333.55394	1237.42102	1263.90412	1176.16014	1261.73763	1103.91277	1250.2514	999.18957	1167.68133	1334.21047	1419.86193	1399.49716	1515.24695	1404.04653	827.94328
5700	6000	1000.08978	1391.99571	1272.60352	1245.90235	1031.18072	1072.58977	1200.76779	1070.3575	1139.4797	1204.44773	1272.95923	1541.49559	1420.39873	1296.71308	1337.87954	1265.7723	1308.31312	1194.07491	1303.68356	1186.25707	1263.86506	1344.6531	1434.45739	1443.68145	1400.00308	1265.60161	1046.46141
6000	6300	968.79453	1124.53144	1148.82654	1168.15378	1142.24836	989.72232	1180.87462	1112.00268	1061.43696	1116.91215	1079.20719	1223.91393	1179.99229	1178.36395	1098.14485	1159.75307	1105.59114	1093.15874	1113.51745	1231.89438	1135.58733	1189.48064	1367.00268	1344.13567	1225.46709	1271.58178	1037.18799
6300	6600	1090.63926	1104.6548	1127.53352	1013.10009	971.9899	971.16638	880.91471	1093.71925	900.61952	1047.08442	1001.80223	1387.9748	1301.59822	1073.62773	1054.84701	1037.49031	1029.49778	1094.40356	1056.52863	1055.77997	1083.04769	1326.88224	1149.04762	1105.2372	993.78945	956.84989	1162.85559
