frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	36.11264	85.55755	25.77007	20.78072	40.60666	28.20422	86.12365	25.62016	39.49581	61.44634	170.18355	246.14451	46.56745	96.54873	40.05314	83.7519	72.69604	36.05777	262.54583	20.69974	28.14415	91.16621	50.27333	128.96936	10.53173	110.68627	81.45382	76.21166	226.65802	17.63285	49.58919	91.1529	133.25132	127.22907	1.14975	37.07933	167.46107	88.91449	16.13632	100.49013	41.33377	6.46262	61.40522	46.38999	7.38975	58.77798
30	60	1252.73912	622.16581	1714.99543	961.95624	1132.46007	812.71318	877.23512	658.22549	955.8618	938.75996	1700.68518	649.7679	390.58915	1118.49632	801.27529	757.13451	814.07048	808.97998	395.72775	593.18367	842.80514	398.50433	1075.7385	1011.191	530.62215	1567.40254	640.1978	1126.86548	458.00395	1117.10925	761.21883	1362.90396	1075.40962	646.63228	329.01916	479.86918	686.7831	437.51133	658.9724	625.70445	409.50061	375.75867	521.69562	643.43568	421.42597	522.09418
60	90	1821.63884	1141.17429	2142.04625	685.32824	1312.343	1077.15467	1667.82356	783.31952	2423.74647	1786.31346	1834.01177	702.65332	425.78699	1415.08608	1472.77176	1434.71444	1408.01444	1545.95501	684.50394	1191.29577	1590.22654	1087.2948	1256.86979	2008.36972	1605.47056	1317.20564	1813.14187	928.25671	928.69927	935.08754	1028.64202	1540.61171	1570.83083	2486.1556	1101.94343	1141.4203	1426.68976	1079.46694	1593.55615	1605.48153	1429.49257	1490.4161	1363.77213	1427.25946	734.7508	1052.94181
90	120	2776.51823	2108.1622	3611.26742	2063.02754	1957.77555	1997.59807	2159.01824	1985.42219	3252.78663	2619.42714	1985.49551	1175.87197	911.71712	2981.5697	2024.97105	2476.44203	2319.34743	2353.12987	1671.66282	2364.93456	2541.58991	1658.21777	2300.69325	2181.98094	1657.84882	2698.68451	1884.02836	2284.30892	1527.02306	2287.66017	1424.52468	2606.64372	2427.57242	1505.81804	1051.58267	1495.74834	2328.32336	1612.71228	2107.31741	2135.13176	1437.59193	1560.74906	1587.76413	1763.77915	1299.57045	1582.49772
120	150	2671.64776	2148.89636	3638.64833	2067.59437	2913.69623	2602.57625	2564.52483	1455.40566	2509.43724	2662.14557	1380.28206	1969.37151	1192.84689	2761.57913	1802.25439	3301.25921	2630.19707	1738.84288	1643.87686	2522.23927	2629.46851	2036.3335	2695.46652	2983.31393	2133.49053	2202.58875	3029.52402	1672.73334	1672.16027	1667.15129	3258.47105	3134.21787	3165.09214	2084.4073	1402.25489	2112.57228	3619.55884	2188.6528	2863.20022	2654.61267	2408.31875	1680.04797	1858.46954	2072.07796	1843.26628	2193.19653
150	180	2987.8734	2954.96115	3597.53499	1425.70495	2574.55338	2900.60361	2854.30069	2155.80579	3621.40829	2915.07684	3021.79358	1634.68597	1218.95057	2249.88639	3357.30274	2510.70654	1898.21641	2554.84217	1833.84639	2601.70444	2567.82274	1448.97729	2732.67637	2249.51451	2984.83835	2487.73254	2923.08971	2040.25216	1537.9339	1774.02827	3442.02899	2455.22223	2697.4964	3149.66447	1620.20738	3531.24641	2682.14371	3032.44193	2698.55655	2933.7264	1831.80767	2849.11613	2057.95803	2048.42909	1240.92908	2088.00691
180	240	2773.51383	2298.09067	2677.68031	2416.38132	1944.11465	1867.44344	3004.08635	1792.91253	2641.56791	2459.57811	1865.10314	2201.55734	1519.64482	2711.18761	1936.08114	2829.33821	2232.6629	2423.34025	2106.54604	2178.55393	2144.27965	970.82086	2294.23968	2400.21556	2271.21583	2284.60767	2598.02473	1849.30314	1998.70775	2181.23143	2313.34222	2824.52989	2630.39825	1801.16067	2082.42312	1950.32181	2606.47383	2130.64727	2556.85052	2408.41822	1788.10401	2168.96459	2052.99377	2145.76826	1786.00852	2129.3215
240	300	2835.58351	2164.33298	2926.43736	2115.74531	2719.21083	1881.21479	2539.24393	1547.37012	2336.54203	2370.30157	1547.65052	1304.8508	1583.88659	2522.98167	1609.58029	2058.59498	2016.81635	2118.66553	1509.30999	2345.95457	2387.05455	2040.47131	2193.97996	2365.28612	2626.39296	2765.659	2311.83893	2528.50262	1986.1207	2719.1811	1523.17389	2894.8054	2822.38775	2719.90593	1868.25918	1573.15979	2900.64503	2360.74441	2579.08679	2430.54089	1604.98152	2629.70559	1835.19875	2122.71661	1518.25564	2162.75609
300	360	2890.64372	2377.967	2490.7349	2391.98254	1691.59859	2228.81775	2615.90063	1719.20061	3163.20496	2313.55535	2579.27527	1908.22926	2132.5507	2357.98526	2047.05633	2208.23554	1783.75196	2235.13354	2464.72075	2707.70065	2585.97724	1768.59961	2317.04503	2536.91632	1856.5113	2539.2196	2157.35288	2356.8929	1490.35131	2422.56983	1719.13414	2382.17155	2203.95797	1977.87192	2013.2434	1710.7148	2274.67206	2162.50598	1940.3451	2150.46053	1610.42496	1845.0898	2107.62581	2061.72518	1053.31474	1684.6964
360	480	2864.48326	2202.94623	2997.71951	2479.10602	2441.41805	1874.17336	2719.09428	1611.82645	2695.45273	2370.86545	2151.97811	1870.0715	1681.66942	2437.76932	1957.19549	2286.51386	2021.93	2200.00879	2302.48369	2324.09836	2475.72856	2058.75757	2563.53537	2777.04089	2302.29205	2464.46686	2463.2449	1969.08548	2265.81996	2158.6449	2020.47842	3176.2202	2691.03718	2439.63615	1783.51167	2015.15671	2678.14064	2442.77606	2119.30983	2264.62377	2075.22231	2246.57311	2265.86322	2233.50661	1133.19252	1897.97936
